source_neuron,target_neuron,weight
0,1,2
0,359,15
1,2,7
1,180,9
1,189,3
1,312,7
1,450,1
1,465,4
2,3,6
2,39,20
2,109,3
2,163,9
2,422,13
3,4,4
3,74,18
3,154,2
3,236,5
3,468,5
4,5,13
4,128,17
4,245,12
4,351,4
4,484,2
5,6,14
5,37,20
5,67,19
5,235,19
5,296,8
5,367,20
5,378,11
5,462,19
5,475,4
6,7,6
6,78,5
6,117,12
6,131,8
6,143,11
6,435,14
6,451,8
6,458,10
7,8,16
7,131,17
7,156,13
7,332,15
7,354,18
7,385,12
7,470,1
8,9,9
8,193,20
8,234,12
8,361,19
9,7,9
9,10,15
9,233,10
9,324,4
9,343,7
9,397,5
9,490,4
10,11,3
10,36,20
10,56,13
10,118,1
10,122,1
10,225,2
10,288,5
10,296,3
10,349,17
10,477,8
11,12,12
11,32,11
11,83,11
11,105,7
11,189,12
11,305,15
11,337,3
12,13,8
12,255,14
12,296,3
12,357,1
12,486,9
13,14,3
13,68,9
13,103,16
13,327,11
13,328,6
13,329,6
14,15,19
14,53,9
14,83,8
14,140,7
14,294,18
14,358,4
15,16,17
15,32,8
15,292,11
15,335,13
15,339,11
15,392,20
15,414,16
16,17,10
16,77,6
16,195,10
16,226,9
16,257,6
16,264,5
16,395,9
16,479,14
17,18,18
17,109,9
17,190,4
17,191,5
17,301,10
17,345,20
17,386,19
17,473,12
18,19,15
18,52,5
18,307,13
18,373,20
19,20,11
19,22,4
19,60,1
19,92,3
19,152,12
19,406,15
19,451,8
20,21,8
20,223,4
20,370,6
21,22,9
21,67,1
21,181,10
21,189,17
21,290,15
21,381,6
21,415,13
21,509,15
22,14,5
22,23,7
22,39,13
22,58,6
22,178,10
23,24,6
23,60,9
23,258,5
23,324,13
23,341,9
24,25,9
24,43,12
24,258,14
24,265,7
24,299,19
24,350,15
25,26,12
25,28,11
25,42,13
25,367,1
25,450,6
25,478,3
25,480,7
25,489,8
26,17,3
26,27,5
26,289,13
26,304,17
26,317,6
26,343,8
27,28,5
27,90,11
27,140,19
27,167,9
27,282,7
27,340,19
27,421,6
27,476,16
28,29,6
28,135,11
28,144,13
28,147,14
28,195,11
28,204,8
29,1,12
29,30,7
29,61,7
29,309,19
29,480,20
30,31,20
30,34,7
30,135,9
30,249,2
30,323,2
30,404,12
30,464,17
30,468,19
31,32,18
31,57,4
31,124,19
31,149,4
31,197,16
31,201,1
31,292,17
31,300,18
31,434,6
31,450,11
32,33,6
32,277,16
32,469,13
32,505,20
33,28,19
33,34,16
33,40,7
33,80,13
33,92,18
33,110,6
33,171,13
33,326,2
33,359,12
33,421,7
34,22,15
34,35,1
34,164,12
34,226,17
34,263,19
34,339,16
35,36,18
35,118,14
35,196,19
35,279,12
35,322,1
35,388,13
36,37,6
36,233,10
36,308,14
36,327,2
37,25,18
37,38,20
37,123,17
37,326,4
37,328,11
37,342,1
37,496,20
38,39,11
38,153,19
38,493,3
39,40,1
39,60,8
39,295,7
39,337,17
39,409,6
39,421,9
39,443,20
39,500,5
40,41,14
40,78,11
40,133,7
40,161,4
40,180,12
40,189,7
40,311,11
40,320,20
40,373,2
41,42,5
41,154,10
41,185,17
41,187,6
42,43,19
42,163,1
42,313,20
42,406,4
43,44,1
43,71,12
43,140,1
43,230,12
43,511,3
44,45,15
44,47,12
44,309,13
44,491,11
45,46,14
45,75,17
45,107,17
45,118,2
45,355,17
45,366,10
45,447,7
46,47,16
46,220,11
46,283,13
46,328,12
47,23,7
47,48,8
47,253,5
47,482,17
48,8,9
48,49,7
48,312,4
48,348,17
49,50,4
49,92,8
49,144,17
49,174,8
49,261,2
50,51,12
50,53,17
50,130,14
50,152,3
50,175,16
50,295,4
50,304,20
51,8,2
51,52,4
51,56,7
51,60,4
51,147,12
51,155,2
51,226,9
51,234,7
51,343,18
51,482,16
52,53,13
52,96,19
52,156,8
52,231,11
52,258,9
52,343,4
52,355,5
52,489,14
52,494,14
53,13,2
53,48,11
53,54,13
53,59,13
53,106,6
53,337,1
53,386,4
53,484,18
54,11,10
54,55,18
54,220,3
54,358,15
54,382,11
54,499,2
55,56,12
55,85,7
55,106,10
55,274,6
55,506,3
56,57,9
56,112,19
56,161,3
57,58,16
57,206,5
57,298,7
57,372,9
58,59,2
58,90,18
58,210,9
58,289,17
58,354,6
58,481,14
59,12,3
59,60,1
59,228,5
59,373,10
59,394,10
60,61,19
60,117,7
60,253,5
60,263,15
60,288,1
60,406,18
61,37,7
61,62,7
61,99,9
61,236,5
61,251,20
61,316,4
61,326,20
61,370,10
61,407,2
62,63,6
62,215,13
62,348,19
63,64,8
63,170,6
63,171,15
63,259,7
63,457,18
63,464,2
64,65,16
64,398,11
64,431,10
64,475,5
64,485,1
65,24,15
65,43,19
65,66,12
65,94,19
65,331,8
65,387,13
65,393,1
66,67,18
66,153,14
66,206,7
66,259,4
66,501,7
67,31,9
67,68,20
67,196,13
67,511,7
68,69,7
68,206,10
68,300,17
68,348,7
68,414,13
68,501,5
69,15,1
69,70,9
69,235,4
69,484,16
70,52,13
70,71,15
70,233,12
70,457,1
71,5,18
71,69,7
71,72,16
71,145,17
71,295,10
71,389,17
72,23,8
72,73,7
72,83,4
72,232,17
72,300,7
72,337,15
72,454,8
72,475,7
72,486,4
73,74,11
73,171,9
73,218,4
73,267,13
74,31,1
74,45,10
74,56,5
74,65,3
74,75,12
74,115,1
74,294,16
74,317,6
74,392,19
75,76,3
75,173,18
75,213,15
75,385,1
76,10,7
76,39,18
76,77,5
76,111,3
76,334,15
76,382,2
77,53,12
77,68,7
77,78,7
77,228,6
77,350,5
77,386,17
77,416,4
78,79,8
78,193,1
78,209,6
78,248,11
78,273,11
78,277,17
78,283,19
78,346,13
78,386,6
78,423,8
78,474,17
79,80,12
79,96,15
79,97,19
79,123,10
79,202,15
79,239,15
79,373,17
79,374,10
79,419,11
79,440,15
80,30,10
80,81,8
80,87,5
80,131,10
80,142,11
80,242,5
80,322,9
80,348,7
80,456,15
80,484,20
81,82,3
81,415,12
81,456,4
82,48,13
82,56,4
82,83,7
82,158,20
82,178,13
82,399,6
82,406,6
82,477,10
83,3,8
83,62,19
83,84,20
83,97,4
83,193,16
83,432,17
83,454,9
84,28,6
84,39,12
84,85,1
84,100,7
84,103,13
84,132,15
84,263,1
84,325,6
84,461,2
84,470,17
84,495,9
85,79,19
85,86,10
85,144,14
85,231,7
85,259,5
86,87,20
86,158,9
86,329,3
86,367,6
86,387,2
86,457,8
87,67,5
87,88,4
87,90,12
88,4,13
88,89,20
88,96,7
88,269,4
88,301,4
89,41,6
89,59,19
89,90,11
89,112,1
89,127,8
89,357,20
89,463,9
90,91,3
90,118,3
90,171,9
90,292,7
90,318,10
90,381,13
90,450,15
90,464,13
90,465,19
90,507,5
91,46,8
91,76,4
91,92,15
91,166,5
91,168,1
91,349,17
91,407,1
91,503,5
92,50,7
92,93,10
92,128,8
92,147,1
92,368,8
92,511,18
93,94,9
93,302,7
93,400,13
94,21,16
94,95,5
94,282,15
94,302,8
94,310,3
95,15,7
95,96,11
95,443,20
96,97,17
96,222,4
96,229,10
96,357,2
96,431,10
96,463,4
96,490,3
97,98,15
97,147,19
97,208,4
97,352,17
97,396,12
97,422,10
98,99,14
98,281,5
98,449,6
98,451,14
99,98,17
99,100,5
99,325,19
99,330,16
100,8,6
100,35,14
100,101,7
100,272,8
100,358,11
100,482,2
101,102,7
101,139,1
101,375,18
101,396,1
101,445,20
102,64,17
102,103,10
102,179,9
102,243,14
102,468,9
102,494,2
103,104,7
103,141,14
103,246,20
103,387,4
103,403,19
103,415,9
103,450,2
104,8,20
104,105,17
104,121,4
104,158,4
104,241,17
104,305,11
104,381,2
104,391,17
104,399,17
104,473,9
104,474,2
105,31,7
105,106,1
105,149,1
105,176,2
105,233,2
105,260,15
106,107,13
106,204,8
106,298,15
106,397,4
107,57,17
107,108,15
107,123,13
107,128,14
107,167,20
107,276,2
107,482,16
108,31,12
108,109,10
108,201,10
108,457,18
108,504,18
109,110,5
109,131,18
109,132,18
109,144,9
109,351,6
109,383,12
110,14,18
110,111,9
110,211,16
111,112,5
111,184,18
111,246,15
111,324,10
111,497,14
112,113,5
112,302,2
112,436,1
112,474,17
113,114,15
113,148,19
113,186,20
114,115,9
114,128,4
114,207,7
114,209,5
114,222,5
114,318,20
114,334,16
114,396,8
114,398,4
114,403,16
115,116,18
115,179,18
115,261,7
115,435,6
116,45,4
116,117,5
116,130,20
116,216,7
116,350,18
116,367,5
116,483,8
116,503,9
117,118,5
117,166,9
117,339,14
117,360,12
118,63,13
118,119,15
118,120,17
118,176,20
118,225,13
119,15,1
119,120,9
119,204,7
119,286,9
120,121,6
120,132,7
120,281,14
120,438,5
120,476,12
121,122,7
121,198,15
121,237,14
121,340,20
121,422,20
121,457,18
121,478,18
122,116,7
122,123,5
122,134,2
122,162,16
122,338,20
123,124,3
123,206,1
123,220,18
123,257,20
123,258,6
123,270,2
123,482,10
124,20,10
124,83,3
124,110,13
124,125,11
124,357,6
124,404,20
124,456,16
125,7,18
125,106,10
125,126,8
125,254,7
125,323,2
125,379,18
125,403,13
125,438,10
125,440,15
125,501,5
126,94,19
126,127,19
126,177,16
126,424,3
126,428,18
127,11,7
127,35,15
127,38,8
127,85,8
127,128,11
127,164,20
127,327,10
127,381,6
127,401,20
127,483,10
127,511,13
128,3,13
128,49,17
128,129,13
128,152,3
128,160,14
129,64,8
129,130,12
129,225,4
129,336,3
129,370,9
129,396,17
130,101,18
130,127,15
130,131,5
130,242,3
130,269,5
130,360,14
130,476,16
130,482,5
130,492,3
131,69,11
131,132,13
131,183,10
132,31,17
132,133,4
132,180,16
132,187,9
132,308,7
132,339,6
